RowID,Service,Service Center,State,Postal Code,Address,Latitude,Longitude,Service Details URL,Data As On
SVC1011,Office,Cleanaway Ayr - Solid Waste Services,QLD,4807,"Mackenzie Street, Ayr, QLD, 4807",-19.56460801156244,147.38776649026067,https://www.cleanaway.com.au/location/ayr/,2024-08-09 13:07:27
SVC1012,Solid waste services,Cleanaway Bairnsdale Solid Waste Services,VIC,3875,"57 Forge Creek Road, Bairnsdale, VIC, 3875",-37.83739425485061,147.61053899247509,https://www.cleanaway.com.au/location/bairnsdale/,2024-08-09 13:07:33
SVC1013,Solid waste services,Cleanaway Batemans Bay - Solid Waste Services,NSW,2536,"36 Cranbrook Road, Batemans Bay, NSW, 2536",-35.720454277209235,150.1697287150359,https://www.cleanaway.com.au/location/batemans-bay/,2024-08-09 13:07:39
SVC1013,Office,Cleanaway Batemans Bay - Solid Waste Services,NSW,2536,"36 Cranbrook Road, Batemans Bay, NSW, 2536",-35.720454277209235,150.1697287150359,https://www.cleanaway.com.au/location/batemans-bay/,2024-08-09 13:07:39
SVC1014,Solid waste services,Cleanaway Bathurst - Solid Waste Services,NSW,2795,"22 Upfold Street, Bathurst, NSW, 2795",-33.426071238905635,149.58947343947082,https://www.cleanaway.com.au/location/bathurst-2/,2024-08-09 13:07:45
SVC1014,Office,Cleanaway Bathurst - Solid Waste Services,NSW,2795,"22 Upfold Street, Bathurst, NSW, 2795",-33.426071238905635,149.58947343947082,https://www.cleanaway.com.au/location/bathurst-2/,2024-08-09 13:07:45
SVC1015,Solid waste services,Cleanaway Bega - Solid Waste Services,NSW,2550,"116 Kerrison Lane, Bega, NSW, 2550",-36.71134645576057,149.8483112523715,https://www.cleanaway.com.au/location/bega/,2024-08-09 13:07:48
SVC1015,Office,Cleanaway Bega - Solid Waste Services,NSW,2550,"116 Kerrison Lane, Bega, NSW, 2550",-36.71134645576057,149.8483112523715,https://www.cleanaway.com.au/location/bega/,2024-08-09 13:07:48
SVC1016,Solid waste services,Cleanaway Belrose Resource Recovery Centre,NSW,2085,"End of Crozier Road, Belrose. NSW 2085",-33.71595868590502,151.2117178321567,https://www.cleanaway.com.au/location/cleanaway-belrose-resource-recovery-centre/,2024-08-09 13:07:54
SVC1017,Solid waste services,Benalla,VIC,3672,"13 Enterprise Dr, Benalla, VIC, 3672",-36.543278,146.01411,https://www.cleanaway.com.au/location/benalla/,2024-08-09 13:07:59
SVC1018,Solid waste services,Cleanaway Beresfield Newcastle - Solid Waste Services,NSW,2320,"16 Canavan Drive, Beresfield, NSW, 2320",-32.79962745880024,151.63135034262902,https://www.cleanaway.com.au/location/beresfield/,2024-08-09 13:08:01
SVC1019,Miscellaneous,Cleanaway Beresfield CDS Depot,NSW,2322,"2 Balbu Close, Beresfield, NSW, 2322",-32.80884244561758,151.63143037534653,https://www.cleanaway.com.au/location/beresfield-cds-depot/,2024-08-09 13:08:04
SVC1020,Solid waste services,Cleanaway Beresfield - Solid Waste Services,NSW,2322,"2 Balbu Close, Beresfield, NSW, 2322",-32.80876,151.631418,https://www.cleanaway.com.au/location/beresfield-solid-waste/,2024-08-09 13:08:09
SVC1021,Liquid waste services,Cleanaway Bohle – Liquid Waste Services,QLD,4818,"96-102 Enterprise Street, Bohle, QLD, 4818",-19.254033568829477,146.71310062471952,https://www.cleanaway.com.au/location/bohle/,2024-08-09 13:08:13
SVC1021,Industrial waste services,Cleanaway Bohle – Liquid Waste Services,QLD,4818,"96-102 Enterprise Street, Bohle, QLD, 4818",-19.254033568829477,146.71310062471952,https://www.cleanaway.com.au/location/bohle/,2024-08-09 13:08:13
