service_name,address,latitude,longitude,services_offered,details_url,scrape_ts
Dandenong Skin & Hyde,"91 Ordish Road, Dandenong, VIC, 3175",-38.0235617,145.1928241,Office,https://www.cleanaway.com.au/location/dandenong-skin-hyde/,2024-03-10 23:55:51
Cleanaway Dandenong South Solid Waste Depot,349 Perry Road Dandenong South VIC 3175 Australia,-38.03302757295915,145.18734995109673,Solid waste services,https://www.cleanaway.com.au/location/dandenong-south-solid-waste-depot/,2024-03-10 23:55:55
Cleanaway Dandenong South - Solid Waste Services,"72/76 Thomas Murrell Cres, Dandenong South, VIC, 3175",-38.02104115065446,145.19383424900428,Solid waste services,https://www.cleanaway.com.au/location/dandenong-south/,2024-03-10 23:55:59
Cleanaway Daniels Bibra Lake - Medical Waste Services,"19 Coolibah Way, Bibra Lake, WA, 6163",-32.11182749087542,115.81300083055092,Cleanaway Daniels,https://www.cleanaway.com.au/location/bibra-lake/,2024-03-10 23:56:06
Cleanaway Daniels Dandenong South - Medical Waste Services,"34-36 Cahill Street, Dandenong South, VIC, 3175",-38.02640825790237,145.19616706193867,Cleanaway Daniels,https://www.cleanaway.com.au/location/cleanaway-daniels-dandenong/,2024-03-10 23:56:11
Cleanaway Daniels Laverton North - Health Services,"110 Dohertys Road, Laverton North, VIC, 3026",-37.828075937035166,144.79158837975473,Cleanaway Daniels,https://www.cleanaway.com.au/location/cleanaway-daniels-laverton-north/,2024-03-10 23:56:15
Cleanaway Daniel’s Mitchell – Medical Waste Services,"Building 1, 9 Sandford Street, Mitchell, ACT, 2911",-35.22250147154668,149.14199225813613,Miscellaneous,https://www.cleanaway.com.au/location/mitchell/,2024-03-10 23:56:21
Cleanaway Daniels Silverwater – Medical Waste Services,"41 Vore Street (Units 1 & 2, 108-120 Silverwater Rd), Silverwater, NSW, 2128",-33.83478498364579,151.0462533209851,Cleanaway Daniels,https://www.cleanaway.com.au/location/cleanaway-daniels-vore-street-silverwater/,2024-03-10 23:56:27
Cleanaway Daniels Wiblin Street Silverwater – Medical Waste Services,"2-12-16 Wiblin Street, Silverwater, NSW, 2128",-33.8366922261095,151.0461036704018,Cleanaway Daniels,https://www.cleanaway.com.au/location/cleanaway-daniels-wiblin-street-silverwater/,2024-03-10 23:56:34
Cleanaway Daniels Wingfield - Medical Waste Services,"44-46 Francis Rd, Wingfield, SA, 5017",-34.84472759356661,138.54820707429565,Cleanaway Daniels,https://www.cleanaway.com.au/location/cleanaway-daniels-wingfield/,2024-03-10 23:56:41
Cleanaway Daniels Yatala - Medical Waste Services,"Unit 4/63 Burnside Road, Yatala, QLD, 4207",-27.74922478049947,153.24447788220166,Cleanaway Daniels,https://www.cleanaway.com.au/location/cleanaway-daniels-yatala/,2024-03-10 23:56:46
Cleanaway Dardanup Solid Waste Services,"Lot 2, Banksia Road, Dardanup, WA, 6236",-33.42629127314418,115.77764919907574,Solid waste services,https://www.cleanaway.com.au/location/dardanup/,2024-03-10 23:56:51
Cleanaway Darra Industrial Waste Services,"20-28 Machinery Street, Darra, QLD, 4076",-27.578280348233992,152.94684511714811,Industrial waste services,https://www.cleanaway.com.au/location/darra/,2024-03-10 23:56:59
Cleanaway Dawesville Solid Waste Services,"Tims Thicket Road, Dawesville, WA, 6211",-32.65237916212816,115.62129924934099,Solid waste services,https://www.cleanaway.com.au/location/dawesville/,2024-03-10 23:57:07
Cleanaway Delacombe - Solid Waste Services,"20 Douglas Street, Delacombe, VIC, 3350",-37.57480062234263,143.82535028354164,"Solid waste services, Office",https://www.cleanaway.com.au/location/delacombe/,2024-03-10 23:57:13
Cleanaway Derby Solid Waste Services,"Lot 909 Millard Street, Derby, WA, 6728",-17.317786617399953,123.6488173913029,Solid waste services,https://www.cleanaway.com.au/location/derby/,2024-03-10 23:57:18
Cleanaway Derwent Park MRF,"127 Derwent Park Road, Derwent Park TAS 7009",-42.8345726871458,147.30535362602515,Solid waste services,https://www.cleanaway.com.au/location/derwent-park/,2024-03-10 23:57:24
Cleanaway Doonan - Solid Waste Services,"561 Eumundi Noosa Rd, Doonan, QLD, 45674566",-26.435816,153.024719,Solid waste services,https://www.cleanaway.com.au/location/noosaville/,2024-03-10 23:57:30
Cleanaway Dubbo - Solid Waste Services,"2 Jannali Road, West Dubbo, NSW, 2830",-32.2415533993811,148.58408019422927,"Solid waste services, Office",https://www.cleanaway.com.au/location/dubbo/,2024-03-10 23:57:35
Cleanaway Dundowran CDS Depot,"9 Industrial Ave. Dundowran, QLD, 4655",-25.295948827561027,152.79123023106774,Solid waste services,https://www.cleanaway.com.au/location/dundowran-depot/,2024-03-10 23:57:41
Cleanaway East Bendigo - Solid Waste Services,"63-69 Beischer Street, East Bendigo, VIC, 3551",-36.75230709865194,144.3090067887239,"Solid waste services, Office",https://www.cleanaway.com.au/location/bendigo/,2024-03-10 23:57:46
Cleanaway Eastern Creek Solids Waste Services,"1A Raffles Glade, Eastern Creek, NSW, 2766",-33.79913305824948,150.83532951555915,Solid waste services,https://www.cleanaway.com.au/location/eastern-creek/,2024-03-10 23:57:52
Cleanaway Emerald - Solid Waste Services,"23 Cotton View Rd, Emerald, QLD, 4720",-23.50416947847322,148.1495913433463,Solid waste services,https://www.cleanaway.com.au/location/emerald/,2024-03-10 23:57:58
Cleanaway Erskine Park Landfill,"85-87 Quarry Road, Erskine Park NSW 2759",-33.81832018464325,150.78372355116778,Solid waste services,https://www.cleanaway.com.au/location/erskine-park-landfill/,2024-03-10 23:58:03
Cleanaway Erskine Park - Solid Waste Services,"48 Quarry Road, Erskine Park, NSW, 2759",-33.81914272186035,150.78191547347808,Solid waste services,https://www.cleanaway.com.au/location/erskine-park-solid-waste/,2024-03-10 23:58:10
Erskine Park Transfer Station,"85-87 Quarry Road, Erskine Park, NSW, 2759",-33.8188823594222,150.7831135000006,"Transfer Station, Office",https://www.cleanaway.com.au/location/erskine-park-transfer-station/,2024-03-10 23:58:15
Cleanaway Gladstone - Industrial Waste Services,"41 Guerassimoff Road, Gladstone, QLD, 4680",-23.80979455426217,151.14810492116328,Industrial waste services,https://www.cleanaway.com.au/location/yarwun/,2024-03-10 23:58:20
Cleanaway Glendenning - Liquid Waste Services,"6-8 Rayben Street, Glendenning, NSW, 2761",-33.75056846092886,150.85632264327973,Liquid waste services,https://www.cleanaway.com.au/location/glendenning/,2024-03-10 23:58:25
Cleanaway Glendenning Municipal Collections Site,"43 Cox Place, Glendenning NSW 2761",-33.7491765448081,150.84725438595396,Solid waste services,https://www.cleanaway.com.au/location/cox-place-glendenning/,2024-03-10 23:58:27
Cleanaway Glenorchy Solid Waste Services,1 Mckay Avenue Glenorchy TAS 7010,-42.82819751549476,147.27509695317426,Solid waste services,https://www.cleanaway.com.au/location/glenorchy/,2024-03-10 23:58:33
Cleanaway Grafton Depot,"Shed 35, 160-170 North Street, Grafton, NSW, 2460",-29.670985262627195,152.9398891754968,Miscellaneous,https://www.cleanaway.com.au/location/grafton/,2024-03-10 23:58:39
Cleanaway Greenacre - Solid Waste Services,"44 Claremont Avenue, Greenacre, NSW, 2190",-33.901456652112174,151.03822187131976,Solid waste services,https://www.cleanaway.com.au/location/greenacre/,2024-03-10 23:58:43
Cleanaway Griffith - Solid Waste Services,"88 Wakaden Street, Griffith, NSW, 2680",-34.288498,146.067276,Solid waste services,https://www.cleanaway.com.au/location/griffith/,2024-03-10 23:58:50
Cleanaway Gympie - Solid Waste Services,"19 Dennis Little Drive, Gympie, QLD, 4570",-26.223868,152.698278,Solid waste services,https://www.cleanaway.com.au/location/gympie/,2024-03-10 23:58:55
Cleanaway Hallam Material Recovery Transfer Station,"39 Wedgewood Drive, Hallam, Vic, 3803",-38.0086916161689,145.25558345278245,Transfer Station,https://www.cleanaway.com.au/location/hallam/,2024-03-10 23:59:01
Cleanaway Heatherbrae Liquid Waste Services,"42 Heather Street, Heatherbrae, NSW, 2324",-32.78798584680819,151.7351288525832,Liquid waste services,https://www.cleanaway.com.au/location/heatherbrae/,2024-03-10 23:59:06
Hemmant Packaging Waste Recycling: Cardboard Paper Plastics,"94 Anton Road, Hemmant, QLD, 4174",-27.431895041434345,153.1322474976208,Miscellaneous,https://www.cleanaway.com.au/location/hemmant/,2024-03-10 23:59:13
Cleanaway Henderson Waste Water Treatment Facility,"24 Stuart Drive, Henderson, WA, 6166",-32.16433268677475,115.77648794262565,Liquid waste services,https://www.cleanaway.com.au/location/henderson/,2024-03-10 23:59:19
Cleanaway Hervey Bay – MRF,"48-50 Industrial Ave.Dundowran, Hervey Bay, QLD, 4655",-25.29723080693281,152.7925287907059,Solid waste services,https://www.cleanaway.com.au/location/dundowran/,2024-03-10 23:59:24
Cleanaway Hervey Bay Municipal,"18-20 Ellengowan Street, Urangan, Hervey Bay, QLD, 4655",-25.316874658210253,152.88993332407378,Solid waste services,https://www.cleanaway.com.au/location/urangan/,2024-03-10 23:59:29
Cleanaway Holtze Solid Waste Depot,"875 Stuart Highway, Holtze, NT, 0829",-12.452588140179698,130.96376462949073,"Liquid waste services, Industrial waste services",https://www.cleanaway.com.au/location/darwin-holtze/,2024-03-10 23:59:35
Cleanaway Hume - Solid Waste Services,"88 Sawmill Cct, Hume, ACT, 2620",-35.39688911546692,149.15948837314696,Solid waste services,https://www.cleanaway.com.au/location/hume/,2024-03-10 23:59:40
Cleanaway Inkerman - Solid Waste Services,"Landfill Waste Service Prime Road, Inkerman, SA, 5501",-34.283768033796704,138.25928876407573,Solid waste services,https://www.cleanaway.com.au/location/inkerman/,2024-03-10 23:59:46
Cleanaway Innisfail - Solid Waste Services,"70 Goondi Mill Road, Innisfail, QLD, 4860",-17.51205952580729,146.00660426734922,Solid waste services,https://www.cleanaway.com.au/location/innisfail/,2024-03-10 23:59:51
Cleanaway Invermay - Liquid & Industrial Waste Services,"29 Churchill Park Dr, Invermay, TAS, 7248",-41.417534657925245,147.1432381449959,Liquid waste services,https://www.cleanaway.com.au/location/invermay/,2024-03-10 23:59:56
Cleanaway Kalgoorlie - Solid Waste Services,"5 Carnegie Street, Kalgoorlie, WA, 6430",-30.7858236500685,121.44167060172626,Solid waste services,https://www.cleanaway.com.au/location/kalgoorlie-2/,2024-03-11 00:00:02
Kalgoorlie Waste Depot,"5, Carnegie St. Broadwood Western Australia, 6430",-30.78590146457046,121.44159594982759,Miscellaneous,https://www.cleanaway.com.au/location/kalgoorlie-boulder-csw/,2024-03-11 00:00:06
Cleanaway Karratha Industrial Waste Services,"Lot 126 Tom Price Road, Cooya Pooya, WA 6714",-20.8070954635893,116.77351190870094,Industrial waste services,https://www.cleanaway.com.au/location/karratha-industrial-services/,2024-03-11 00:00:08
Cleanaway Karratha - Solid Waste Depot,"Lot 609 Warlu Rd, Cooya Pooya WA 6714",-20.811025148568405,116.77345550898944,Solid waste services,https://www.cleanaway.com.au/location/karratha/,2024-03-11 00:00:16
Cleanaway Katherine - Solid Waste Services,"2 Murray Street, Katherine, NT, 0850",-14.483119441103426,132.25791713483042,Solid waste services,https://www.cleanaway.com.au/location/katherine/,2024-03-11 00:00:21
Cleanaway Katoomba – Solid Waste Services,"41 Barton Street, Katoomba, NSW, 2780",-33.70124863930182,150.31654471987724,"Solid waste services, Office",https://www.cleanaway.com.au/location/katoomba/,2024-03-11 00:00:28
Cleanaway Kemps Creek Resource Recovery Park,"1725 Elizabeth Drive, Kemps Creek. NSW 2178",-33.86945869624841,150.7624556675415,Solid waste services,https://www.cleanaway.com.au/location/cleanaway-kemps-creek-resource-recovery-park/,2024-03-11 00:00:33
Cleanaway Kooragang - Industrial Waste Services,"19 Egret Street, Kooragang, NSW, 2304",-32.88018550749655,151.767324081438,Industrial waste services,https://www.cleanaway.com.au/location/kooragang-industrial/,2024-03-11 00:00:39
Cleanaway Kooragang TTS – Liquid Waste Services,"47 Raven Street, Kooragang Island, NSW, 2304",-32.88023893004462,151.76733075808517,Liquid waste services,https://www.cleanaway.com.au/location/kooragang-tts/,2024-03-11 00:00:44
Cleanaway Koorlong Mildura Solid Waste Service,"428 Magnum Avenue, Koorlong (Mildura), VIC, 3500",-34.3392551,142.0981271,Office,https://www.cleanaway.com.au/location/koorlong/,2024-03-11 00:00:48
Kronkup,"Lower Denmark Road, Kronkup, WA, 6330",-35.0207326,117.6844069,Office,https://www.cleanaway.com.au/location/kronkup/,2024-03-11 00:00:54
Cleanaway Kununurra Depot,"1 Kentia Way, Kununurra , WA, 6743",-15.757934871018726,28.7460208588387,Solid waste services,https://www.cleanaway.com.au/location/kununurra/,2024-03-11 00:00:59
Cleanaway Kwinana - Industrial Waste Services,"27 Beach Street, Kwinana Beach, WA, 6167",-32.24411646774499,115.78033381094963,"Industrial waste services, Office",https://www.cleanaway.com.au/location/kwinana/,2024-03-11 00:01:05
Cleanaway Kwinana - Technical and Environmental Services,"Lot 4 Mason Road, Kwinana Beach, WA, 6167",-32.224363166799755,115.77669195174767,Liquid waste services,https://www.cleanaway.com.au/location/kwinana-tes/,2024-03-11 00:01:10
Cleanaway Laverton MRF and Plastic Recovery Facility,"32 Gilbertson Rd, Laverton, Vic, 3026",-37.82160991723898,144.79576105261842,Solid waste services,https://www.cleanaway.com.au/location/laverton-mrf/,2024-03-11 00:01:18
Cleanaway Laverton Technical Waste Services,"83 Dohertys Road, Laverton North, VIC, 3026",-37.829259684202576,144.79461135320793,Liquid waste services,https://www.cleanaway.com.au/location/laverton-north/,2024-03-11 00:01:23
Cleanaway Leongatha Municipal Solid Waste Services,"1 Cusack Rd, Leongatha, VIC, 3953",-38.46515802548319,145.95943114716567,"Solid waste services, Office",https://www.cleanaway.com.au/location/leongatha/,2024-03-11 00:01:27
Cleanaway Lismore CDS Solid Waste Depot,"17 Habib Drive, Lismore, NSW, 2480",-28.822906277110995,153.26188231950778,Solid waste services,https://www.cleanaway.com.au/location/lismore/,2024-03-11 00:01:34
Cleanaway Lonsdale - Solid Waste Services,"Lot 79 Liston Road, Lonsdale, SA, 5160",-35.096019826247016,138.50125136275895,Solid waste services,https://www.cleanaway.com.au/location/lonsdale-lot-79-liston-road/,2024-03-11 00:01:40
Cleanaway Lonsdale - Waste and Recycling Depot,"10 Donegal Road , Lonsdale, SA, 5160",-35.11899613364654,138.49303886929948,Miscellaneous,https://www.cleanaway.com.au/location/lonsdale-sawaste/,2024-03-11 00:01:41
Lucas Heights Organic Resource Recovery Facility,"Little Forest Road, Lucas Heights. NSW 2234",-34.0458007,150.9736569,Solid waste services,https://www.cleanaway.com.au/location/cleanaway-lucas-heights-orrf/,2024-03-11 00:01:46
Cleanaway Lucas Heights Resource Recovery Park,"Little Forest Road, Lucas Heights. NSW 2234",-34.04483428673299,150.9731024434171,Solid waste services,https://www.cleanaway.com.au/location/cleanaway-lucas-heights-rrp/,2024-03-11 00:01:51
Cleanaway Lysterfield Resource Recovery Centre,"840 Wellington Road, Lysterfield, VIC, 3156",-37.943951894124,145.3191043353757,Solid waste services,https://www.cleanaway.com.au/location/lysterfield/,2024-03-11 00:01:53
Maddington Jade Street,"22-24 Jade Street, Maddington, WA, 6109",-32.03925999544982,115.99922766376258,Miscellaneous,https://www.cleanaway.com.au/location/maddington-2/,2024-03-11 00:02:00
Maddington Kenwick Rd Liquid Waste Services,"280 Kenwick Road, Maddington, WA, 6109",-32.02958970620715,115.99848870307103,Liquid waste services,https://www.cleanaway.com.au/location/maddington-kenwick/,2024-03-11 00:02:06
Maddington Valencia Way,"Lot 579 Valencia Way, Maddington, WA, 6109",-32.03567189355669,115.99618977792727,Miscellaneous,https://www.cleanaway.com.au/location/maddington/,2024-03-11 00:02:12
Cleanaway Malaga - Solid Waste Services,"171 Camboon Road, Malaga, WA, 6530",-31.866000861367514,115.88811538148046,Solid waste services,https://www.cleanaway.com.au/location/malaga/,2024-03-11 00:02:16
Cleanaway Mandurah - Solid Waste Services,"101 Park Road, Mandurah, WA, 6210",-32.51531772998657,115.7438272000268,Solid waste services,https://www.cleanaway.com.au/location/mandurah-2/,2024-03-11 00:02:22
Mandurah Tip: Transfer Station,"80 Corsican Pl, Parklands, WA, 6180",-32.504415610631085,115.75982899045232,Transfer Station,https://www.cleanaway.com.au/location/mandurah/,2024-03-11 00:02:29
Cleanaway Manjimup — Solid Waste Depot,"9 Gandy Street, Manjimup, WA, 6258",-34.25550049801965,116.149420262724,Solid waste services,https://www.cleanaway.com.au/location/manjimup-solid-waste/,2024-03-11 00:02:34
Mansfield,"C/- Trans Ag. Withers Lane, Mansfield, VIC, 3722",-37.0521693,146.0881238,Office,https://www.cleanaway.com.au/location/mansfield/,2024-03-11 00:02:40
Cleanaway Margaret River Solid Waste Depot,"17 Auger Way, Margaret River, WA, 6285",-33.96672800321526,115.07210875324134,"Solid waste services, Office",https://www.cleanaway.com.au/location/margaret-river/,2024-03-11 00:02:45
Cleanaway Melbourne Corporate Head Office,"Level 4, 441 St Kilda Road, Melbourne, VIC, 3004",-37.83943217730081,144.97763336491647,Office,https://www.cleanaway.com.au/location/melbourne/,2024-03-11 00:02:51
Cleanaway Mildura - Solid Waste Services,"359 Benetook Avenue, Mildura, VIC, 3500",-34.199754995397875,142.17421414333316,"Solid waste services, Liquid waste services",https://www.cleanaway.com.au/location/mildura/,2024-03-11 00:02:59
Cleanaway Milton Corporate Office,"Level 7, 135 Coronation Drive, Milton, QLD, 4064",-27.470353744143594,153.00765615951624,Office,https://www.cleanaway.com.au/location/milton/,2024-03-11 00:03:03
Cleanaway Monash Solid Waste Transfer Station,"92 Hoskin Road, Monash, SA, 5342",-34.25684598862214,140.60508893627267,Solid waste services,https://www.cleanaway.com.au/location/monash/,2024-03-11 00:03:08
Cleanaway Moranbah - Liquid Waste Services,"13 - 19 Thorpe Street, Moranbah, QLD, 4744",-21.98603455754195,148.01488531938543,Liquid waste services,https://www.cleanaway.com.au/location/moranbah/,2024-03-11 00:03:15
Cleanaway Morningside - Solid Waste Services,"42 Manton Street , Morningside, QLD, 4170",-27.452751757838953,153.07732429982818,Solid waste services,https://www.cleanaway.com.au/location/morningside/,2024-03-11 00:03:23
Cleanaway Mornington - Solid Waste Services,"12A Carbine Way, Mornington, VIC, 3931",-38.23047984961146,145.06867493070044,"Solid waste services, Office",https://www.cleanaway.com.au/location/mornington-2/,2024-03-11 00:03:28
